content_id,template,variables
p6s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: 通し / 消化 / 装備周回
● 流派: {{strategy}}                    # 例: Game8 / ぬけまる式
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 煉獄2層
● 必須: {{requirements}}                # 例: タイムライン履修
● 備考: {{notes}}","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
p7s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: 通し / 消化 / 装備周回
● 流派: {{strategy}}                    # 例: Game8 / ぬけまる式 / 凶無敵
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 煉獄3層 Ver1.5
● 必須: {{requirements}}                # 例: タイムライン履修
● 備考: {{notes}}                       # 例: 凶 無敵運用可","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
p8s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: 前半通し / 後半概念練 / 万象灰燼練 / 通し / 消化
● 流派: {{strategy}}                    # 例: Game8 / FFO式 / はいじあ式 / ビジョン式
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 前半 + 後半 ビジョン式
● 必須: {{requirements}}                # 例: 概念タイムライン履修 / 万象灰燼動画予習
● 備考: {{notes}}                       # 例: 万象前ストップ可、消化のみ","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
top,"▼募集ジョブ
● 活動DC: {{datacenter}}
● 言語: {{language}}
● ロール: {{recruitingRoles}}

▼固定の目標
● {{goal}}
● 攻略期間が超過した場合: {{overrunPolicy}}
● 踏破後の周回/消化: {{postClearPolicy}}

▼基本事項
● 活動時間: {{schedule}}
● VC: Discord (聞き専 {{listenOnlyPolicy}})
● 攻略方針: {{strategy}}    # 例: P5デルタハムカツ／P5シグマりょんめ／P5オメガぬけまる／P6ハムカツ etc

▼必須事項
{{requirements}}

▼禁止事項
{{prohibitions}}

▼コンタクト
Discord: {{discordHandle}}
X: {{xHandle}}","datacenter, language, recruitingRoles, goal, overrunPolicy, postClearPolicy, schedule, listenOnlyPolicy, strategy, requirements, prohibitions, discordHandle, xHandle"
p10s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: P1 通し練 / 消化
● 流派: {{strategy}}                    # 例: Game8 (犬丸改FFO式) / ぬけまる震撃
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 天獄編2層
● 必須: {{requirements}}                # 例: タイムライン履修
● 備考: {{notes}}                       # 例: 震撃ぬけまる希望","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
p11s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: P1 通し練 / 調停練 / 消化
● 流派: {{strategy}}                    # 例: Game8 (ハムカツ+ジジー式) / しのしょー式
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 天獄編3層
● 必須: {{requirements}}                # 例: タイムライン履修 / 動画予習
● 備考: {{notes}}                       # 例: アップヘルド闇は十字","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
p12s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: 前半通し / 後半パラスレイ練 / 消化
● 流派: {{strategy}}                    # 例: Game8 (ぬけまる式 / パラスレイX処理)
● パラスレイ: {{parashasureProc}}       # X処理 / K処理 (1回目バリアント)
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 天獄編4層 前半+後半
● 必須: {{requirements}}                # 例: タイムライン履修 / カロリック動画予習
● 備考: {{notes}}","contentShort, progress, strategy, parashasureProc, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
p9s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: P1 通し練 / 消化
● 流派: {{strategy}}                    # 例: Game8 / 無職マラソン式
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 天獄編1層
● 必須: {{requirements}}                # 例: タイムライン履修
● 備考: {{notes}}","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
m5s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: P1 通し練 / 消化
● 流派: {{strategy}}                    # 例: Game8 / ぬけまる式
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 クルーザー級1層
● 必須: {{requirements}}                # 例: タイムライン履修
● 備考: {{notes}}","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
m6s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: P1 雑魚練 / 山川練 / 通し / 消化
● 流派: {{strategy}}                    # 例: Game8 (新FFO式 Ver.3.1)
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 クルーザー級2層
● 必須: {{requirements}}                # 例: タイムライン履修 / 雑魚動画予習
● 備考: {{notes}}","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
m7s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: ビルディング練 / P3 ツイン練 / 通し / 消化
● 流派: {{strategy}}                    # 例: Game8 (さり式 / ぽにこね式)
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 クルーザー級3層
● 必須: {{requirements}}                # 例: タイムライン履修 / さり式動画予習
● 備考: {{notes}}                       # 例: スプリント運用要習熟","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
m8s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: P1 群狼剣練 / P2 孤狼の呪い練 / 通し / 消化
● 流派: {{strategy}}                    # 例: Game8 (ぬけまる/IQ6000/Alice/81128)
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 クルーザー級4層 (前半+後半)
● 必須: {{requirements}}                # 例: 千年の風化動画予習 / Alice式動画予習
● 備考: {{notes}}                       # 例: 八連光弾の T 無敵順厳守","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
m10s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: P2 練 / 通し / 消化
● 流派: {{strategy}}                    # 例: Game8 (犬丸水牢ヒラ/炎AC)
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 ヘビー級2層
● 必須: {{requirements}}                # 例: タイムライン履修
● 備考: {{notes}}","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
m11s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: P1 / チャンピオンズメテオ練 / 消化
● 流派: {{strategy}}                    # 例: Game8 (ぬけまる様式 / ジジ式 / DXA式)
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 ヘビー級3層
● 必須: {{requirements}}                # 例: タイムライン履修
● 備考: {{notes}}","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
m12s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: P1 練 / P2 ドリーム練 / 通し / 消化
● 流派: {{strategy}}                    # 例: Game8 (位置固定/牛子式/ワンエース式)
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 前半 + ぬけまる動画後半
● 必須: {{requirements}}                # 例: P1 ペアタイムライン履修 / ドリーム動画予習
● 備考: {{notes}}                       # 例: ドリーム前ストップ可","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
m9s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: P1 通し練 / 消化
● 流派: {{strategy}}                    # 例: Game8 / ぬけまる式
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 ヘビー級1層
● 必須: {{requirements}}                # 例: タイムライン履修
● 備考: {{notes}}","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
m1s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: P1 通し練 / 消化
● 流派: {{strategy}}                    # 例: Game8 / 犬丸式
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 ライトヘビー1層
● 必須: {{requirements}}                # 例: タイムライン履修
● 備考: {{notes}}","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
m2s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: P1 / 2nd ライヴ練 / 通し / 消化
● 流派: {{strategy}}                    # 例: Game8 (ぬけまる版)
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 ライトヘビー2層
● 必須: {{requirements}}                # 例: タイムライン履修
● 備考: {{notes}}","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
m3s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: P1 / 零式フューズ練 / 通し / 消化
● 流派: {{strategy}}                    # 例: Game8 (ぬけまる版 Ver.2.0)
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 ライトヘビー3層
● 必須: {{requirements}}                # 例: タイムライン履修
● 備考: {{notes}}","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
m4s,"【FF14 零式募集】{{contentShort}}
● 進行度: {{progress}}                  # 例: P1 / 後半クロステイル練 / 通し / 消化
● 流派: {{strategy}}                    # 例: Game8 (ぬけまる版 + DN 式)
● 募集ロール: {{recruitingRoles}}
● 開始時間: {{startTime}}
● VC: {{voiceChannel}}                  # 例: Discord 聞き専可
● マクロ: {{macroSource}}               # 例: Game8 前半 (Ver2.1) + 後半
● 必須: {{requirements}}                # 例: タイムライン履修 / 動画予習
● 備考: {{notes}}                       # 例: 後半ストップ可","contentShort, progress, strategy, recruitingRoles, startTime, voiceChannel, macroSource, requirements, notes"
fru,"▼募集ジョブ
● 活動DC: {{datacenter}}
● 言語: {{language}}
● ロール: {{recruitingRoles}}

▼固定の目標
● {{goal}}
● 攻略期間が超過した場合: {{overrunPolicy}}
● 踏破後の周回/消化: {{postClearPolicy}}

▼基本事項
● 活動時間: {{schedule}}
● VC: Discord (聞き専 {{listenOnlyPolicy}})
● 攻略方針: {{strategy}}    # 例: ぬけまる式トレース、リリド式 etc

▼必須事項
{{requirements}}

▼禁止事項
{{prohibitions}}

▼コンタクト
Discord: {{discordHandle}}
X: {{xHandle}}","datacenter, language, recruitingRoles, goal, overrunPolicy, postClearPolicy, schedule, listenOnlyPolicy, strategy, requirements, prohibitions, discordHandle, xHandle"
