content_id,phase_id,name,order,description
tea,p3,P3 アレキサンダー・プライム (Alexander Prime / プライムフェーズ),3,"アレキサンダー・プライム単体の準ラスフェーズ。
主要ギミック: チャステイニングヒート (Chastening Heat / TB)、ディヴァインスピア、
メガホーリー、時間停止 (Temporal Stasis)、時空潜航のマーチ (Inception)、
次元断絶のマーチ (Wormhole)、サモン・アレキサンダー (Summon Alexander)。
野良主流は「ぬけまる/ハムカツ式 34固定 + 時間停止 脳死法」。
"
tea,p4,P4 パーフェクト・アレキサンダー (Perfect Alexander / 最終パレキフェーズ),4,"最終フェーズ。3体融合したパーフェクト・アレキサンダー。
主要ギミック: 確定判決 (The Final Word)、運命の輪 (Ordained Motion / Stillness)、
光学式波動砲 (Optical Sight)、聖なる大審判 (Almighty Judgment)、
未来観測 α/β (Fate Calibration α/β)、時空干渉 (Temporal Prison)、
抑圧の懲罰 (Ordained Capital Punishment)、強制的引力 (Irresistible Grace)。
野良主流は「ぬけまる式 + 未来観測 北/南頭割り」。
"
p1s,p1,P1 エリクトニオス (Erichthonios) 通し,1,"1 ボス完結型。鎖と監獄の魔王によるギミック。
主要ギミック:
  - 氷火の侵食 (Shining Cells)         属性ヒット数管理、調整役 MT/D3
  - 結呪の魔鎖 (Aetherchain)           ペア結呪。MTD4 / H2D2 / STD1 / H1D3 が標準
  - 結呪の魔鎖四連 (Aetherflail)       4 連の魔鎖。秒数順 ABCD / 1234 マーカー
  - 時限の魔鎖 (Heavy Hand)            対象者デバフ → 光/火振分け
  - 罪のフレイル (Pitiless Flail)      鎖の振り回し AoE
  - シャックル・オブ・タイム            時間停止デバフ
野良主流: ペア調整 / 氷火 MT・D3 交代式 (Game8 採用)。
"
p2s,p1,P1 ヒッポカムポス (Hippokampos) 通し,1,"1 ボス完結型。水の創造生物ヒッポカムポスによる頭割り＋ノックバック特化フェーズ。
主要ギミック:
  - ショックウェーブ (頭割り、ボス下 vs 通路に分散)
  - チャネリングフロウ (十字形 KB)         TH/DPS 交差配置
  - 多重刻印 (Coherence)                   1 回目: 頭割り T 角 / 2 回目: T 角・D 内側
  - カンペオスハルマ (Kampeos Harma)       青/紫サイコロ位置取り
  - ダブルインパクト (タンクペア頭割り)
  - ブレス＆カタラクティス (頭/胴分離)
  - マーキーディープ (全体)
野良主流: Game8 ペア基本散開 + ボス下/通路分散頭割り。
"
p3s,p1,P1 前半 (フェニックス通常戦),1,"フェニックス前半フェーズ。鳥雑魚 + 闇の炎 + 突進 + 線取り。
主要技:
  - 4:4 分け (雑魚 / 霊泉)            MT 組 = MTH1D1D3, ST 組 = STH2D2D4
  - 闇の炎設置ペア (X 字)            サイコロ数字マーカー、時計回り処理
  - 十字走火 (大玉 / 小玉)            基本北西、北東出は北東へ
  - 突進 (中央散開 / 左右散開)       ボスから T → H → D の順
  - 雑魚誘導                          MT 組: 北→西 / ST 組: 東→南
  - 雑魚突進 (線 2 本 / 線 1 本)
野良主流: Game8 採用「基本犬丸＋闇の炎X字 (しのしょー)＋霊泉ハピおじ」式。
"
p3s,p2,P2 後半 (魔力錬成 〜 辺獄フェーズ),2,"後半フェーズ。魔力錬成 (闇)、霊泉フェーズ、辺獄シリーズ。
主要技:
  - 魔力錬成・闇 (辺獄の炎嵐以外)     近接組北 / 遠隔組南
  - 霊泉フェーズ (ハピおじ式)         塔踏み AoE 時計回り
  - 辺獄 2 回目散開                   位置固定散開
  - 辺獄黒竜巻ノックバック            近接←/遠隔→
  - 黒玉散開 (赤小玉→黒小玉 / 赤大玉→黒小玉)
  - 辺獄中ピザカット避け              3 番目待機 → 1 番目退避
  - 辺獄中ノックバック後散開
野良主流: 同上 Game8 採用 融合版。
"
p4s,p1,P1 ヘスペロス 前半 (Part 1),1,"Part 1 (前半)。ピナクス・毒線・緑玉ギミック中心。
主要技:
  - 基本散開                          標準 8 人散開
  - 毒線 (YPP 式)                     TH 北 / DPS 南、塔線時計回り (線ぐるぐる)
  - ピナクス炎 (頭割り / シフト後)     MTH1 / STH2 ペア → シフト後 敵正面/背面分割
  - ピナクス毒 (散開 / シフト後)       MT 中央誘導、遠隔は適時外周
  - 緑玉脳死 (十字配置)               MTH2 / STH1 → D3D4 / D1D3 → MT / D2D4 → H1
                                      上記の玉を取って時計回りで処理
野良主流: YPP 式 (毒線 YPP 緑玉脳死) - Game8 採用。
DPS チェック前層比厳しめのため、装備 / 食事 / 薬使用 (最大 2 回) 必須。
"
p4s,p2,P2 ヘスペロス 後半 (Part 2 - 「劇」演出),2,"Part 2 (後半)。序幕 → 第二幕 → 第三幕 → 第四幕 → 終幕 → カーテンコールの
「劇」演出形式で進行。最終ギミック「カーテンコール」が時間切れ判定。
主要技:
  - 序幕                              標準散開
  - 第二幕                            T/Hダージャ + エアロガ + DPSファイガ移動
  - 第三幕 (犬丸式)                   アースシェイカー誘導
  - 第四幕                            ウォタガ + ダージャ 塔処理、南西集合 → 時計回り
  - 終幕                              ボス基準散開 + 塔配置
  - カーテンコール                    TH 6 秒 / D 11 秒で切り (13/23/33/43)
野良主流: 犬丸式 (および、ぬけまる式も Game8 で並列掲載)。
"
dsr,p1,"P1 教皇庁フェーズ (Sers Adelphel, Grinnaux, and Charibert)",1,"開幕フェーズ。蒼天騎士団3名（聖騎士アデルフェル / グリノー / シャリベル）と戦う。
ハイパーディメンション、プレステ散開（◯×△□マーカー）、光翼閃、
ホーリーブレードダンス（線処理）、ホリエストブレッシング（沈黙）など。
野良主流は「MTアデル / STグリノー / 線ST無敵 / 沈黙 MT→レンジ→MT」。
"
dsr,p2,P2 トールダン (King Thordan and His Knights Twelve),2,"雷槍、聖杖、隕石（ホーリーコメット）など。
野良主流は「ゼフィラン基準散開 / 隕石ハムカツ式」。
雷槍はスパイラルスラスト＋百雷、聖杖はゼフィラン基準でペア調整（MTST/H1H2/D1D2/D3D4）。
隕石GGパターンは多くの固定で「詰みパターンとして諦める」とされる。
"
dsr,p3,P3 ニーズヘッグ (Nidhogg),3,"サイコロ（堕天のドラゴンダイブ）、4塔（ジオーガとゲイルスコグル）、
ソウルテザー、アイ・オブ・タイラント、牙尾/尾牙の連旋などのギミック。
野良主流は「①②③ イル↓D・スパ↑B 固定 / 4塔近接調整」。
"
dsr,p4,P4 邪眼フェーズ (The Eyes of Nidhogg),4,"邪竜の目（左眼 / 右眼）を破壊する短いフェーズ。
赤線/青線の交換による眼への攻撃、ミラージュダイブ（複数回の円形範囲）など。
野良主流は「近接青眼寄せ / ミラージュダイブ交代固定」。
※ARUTORA 等の 8 段階構成では P5「教皇庁②（タンクLB / 光翼閃②）」を独立フェーズとして
扱うが、本ファイルは P1〜P7 構成のため、教皇庁② を P4 の後半（P4-2）として含む。
"
dsr,p5,P5 偽典トールダン / 至天の陣 (Dark King Thordan),5,"偽典トールダン戦。「至天の陣:風槍」と「至天の陣:死刻」の 2 大ギミック。
死刻は絶竜詩最大の山場とも言われる複雑なギミックで、
死の宣告デバフ + ツイスター + ヘヴィインパクトを直線移動で処理する。
野良主流は「こまぞう式改」（イディル式 + こまぞう式のハイブリッド）。
"
dsr,p6,P6 二天竜 (Nidhogg and Hraesvelgr),6,"ニーズヘッグ（D側）とフレースヴェルグ（B側）の 2 体戦。
聖竜/邪竜の息吹（線処理）、滅殺の誓い（DPS リレー）、
アク・アファー（ヒラ起点頭割り）、邪念の炎、カータライズなどのギミック。
野良主流は「おこめ式息吹1 / 脳死息吹2 / 南三角」。
"
dsr,p7,P7 騎竜神トールダン / 最終フェーズ (Dragon-king Thordan),7,"最終フェーズ。騎竜剣エクサフレア、トリニティ（オートアタック）、
騎竜剣アク・モーン、騎竜剣ギガフレア、騎竜剣モーン・アファー（時間切れ攻撃）の連続。
「エクサ→アクモーン→ギガフレア」のサイクルを 3 週繰り返して時間切れに到達する設計。
野良主流は「アクモーン2回目 TLB3」処理。
"
p5s,p1,P1 プロトカーバンクル (Proto-Carbuncle) 通し,1,"ライオン型「創造の継承者」プロトカーバンクル戦。1ボス完結型。
主要ギミック:
  - ソニックハウル (全体攻撃 + ノックバック)
  - ベノムマス / ベノムクランチ (タンク強攻撃、スワップ運用)
  - トパーズストーン (毒石ペア、近接内側 / 遠隔外側で時計回り)
  - ペア毒沼 (ペアで指定マーカーに毒AOE誘導)
  - ダブルラッシュ (対角突進、ノックバック軽減必須)
  - トパーズクラスター (4連トパーズ、結晶順序を覚える)
  - ベノムスコール / ベノムサージ (頭割り↔散開の交互)
  - クロウアンドテイル / テイルアンドクロウ (前後/前前/後前の判別)
  - 捕食 (Starving Stampede / 8青マーカーの順次飛び、スタン→捕食)
  - 十字毒沼 (十字配置の毒沼、塔踏み)
  - ベノムスプラッシュ (4部屋の3個部屋から対角逃げ)
野良主流: ぬけまる式 (Game8 採用)。
"
p6s,p1,P1 ヘーゲモネ (Hegemone) 通し,1,"白蛇人型「半神の継承者」ヘーゲモネ戦。1ボス完結型。
主要ギミック:
  - ヘーミテオス・ダージャ (Hemitheos's Dark IV、開幕全体)
  - ケリックシナジー (Chelic Synergy、タンク強攻撃)
  - エーテル・ポリオミノ (Aetheric Polyominoid、十字/プラス AoE)
  - サイコロ (Pathogenic Cells、青奇数/赤偶数のナンバリング扇範囲)
  - チェンジバースト (Change of State、全3回)
  - ホロス・イクソス / プテラ・イクソス (Holos Ixou / Pteran Ixou)
  - 寄生 (Transmission、ケロモーフ/グロソモーフ デバフ)
  - ダークホーリー / ダークドーム / ダークアッシュ (各種闇属性技)
  - エクソークリーバー (Exocleaver)
  - カヘキシー (Cachexia、全2回、複合ギミック)
野良主流: ぬけまる式 (Game8 採用)、流派分岐少なめ。
"
p7s,p1,P1 アグディスティス (Agdistis) 通し,1,"巨大樹「半神の継承者」アグディスティス戦。1ボス完結型、アド管理が肝。
主要ギミック:
  - アッティスの刃葉 (エクサフレア、外周連続AoE)
  - ホーリガ + 鳥突進 (ノックバック + 鳥誘導)
  - 魔印創成 (Forbidden Fruit、生命の果実召喚: 牛/フェニックス/ミノタウロス)
  - 生命の果実 - 3種類のアド (生命の繁茂【猛/凶/乱】)
    * 【猛】: 散開
    * 【凶】: タンク無敵受け or ロール捨て
    * 【乱】: 全体散開/列散開
  - 生命の繁茂【凶】無敵式 (野良標準: タンク無敵で範囲を受ける処理)
  - 生命の光芒 / 生命の極光 (大ダメージ全体)
  - 多重操炎 / 多重操心 (寄生・呪詛系デバフ)
  - 不可侵の絆 / 不可侵の浄罪 (Inviolate Bonds/Purgation、ペア/散開)
  - 神鳥/牛/イオ召喚 (Forbidden Fruit のサブパターン)
野良主流: ぬけまる式 (Game8 採用、獄8人 凶無敵 乱犬丸)。
"
p8s,p1,P1 ヘファイストス 前半 (第1形態) — P8S Part 1,1,"Part 1 (前半)。ヘファイストス第1形態。創獣 (ケンタウロス/蛇) ギミックがメイン。
主要技:
  - 創獣炎舞 / 炎蛇砲 (ケンタウロス炎攻撃 / 蛇形態のビーム)
  - 熾炎創火 (Genesis of Flame、全体大ダメージ)
  - 変異創身 (Reforged Reflection、形態変身トリガー)
  - ゴルゴンの呪詛 (Gorgomanteia、石化デバフ)
  - イントゥシャドウ (Into the Shadows、頭割り + 散開複合)
  - フェイタルストンプ (Fatal Stomp、踏みつけ追跡 + AoE)
  - 幻影創造 (Illusory Creation、竜竜 / フェニックス 召喚)
  - 多重操炎 / 四重炎嵐 (Quadrupedal Crush、4連 AoE)
  - ブレイジングフィート (Blazing Footfalls、形態変身演出)
  - テトラ/ディフレア (Tetraflare/Difflare、複数頭割り)
野良主流: ぬけまる式 (Game8 採用、FFO式)。
"
p8s,p2,P2 ヘファイストス 後半 (第2形態) — P8S Part 2,2,"Part 2 (後半)。第2形態ヘファイストス。概念ギミック (High Concept) がメイン。
最終的に「万象灰燼」(Ego Death) を生存するため、概念デバフ合成 (Immortal Conception)
が必要。煉獄編最大の山場。
主要技:
  - AA (オートアタック、長時間戦闘で蓄積)
  - エイオン・パール (Aion Purl、全体ダメージ)
  - 暴君のダークホーリー (Tyrant Dark Holy)
  - 術式記述 (Arcane Equation、全2回、炎/氷の十字記述)
  - 概念支配 (Concept Dominion / High Concept、全2回、複合デバフ合成)
  - 万象灰燼 (Universal Ashen / Ego Death、Immortal Conception で生存)
  - 自概念崩壊 (Self-Concept Collapse、デバフ分解)
  - エイオンアゴニア (Aionagonia、全体大ダメージ)
  - 暴君の一撃 / 支配者の一撃 (Tyrant's Grasp、タンク無敵級)
野良主流: ぬけまる式 (Game8 採用、はいじあ式 / ビジョン式)。
"
top,p1,P1 オメガ (Omega) - サークルプログラム / パンクラ,1,"開幕フェーズ。ビートル形態のオメガ。
主要ギミック: サークルプログラム (塔踏み・線とり・線捨て)、
パントクラトル (ミサイル/頭割り)、波動砲 (T無敵 / 7方向散開)、
Atomic Ray (時間切れ)。
野良主流は「南集合・北11.5時から時計回り (H1MTSTD1D2D3D4H2) 」。
"
top,p2,P2 オメガM・オメガF (Omega-M / Omega-F),2,"男女形態フェーズ。
主要ギミック: ファイアウォール、連携プログラム (PT / LB)、
プレイステーション (ミドル/ファー)、4:4吹き飛ばし、
シールドバッシュ&フレア、Laser Shower (時間切れ)。
野良主流は「下から調整・男三人基準で左右組振り分け」。
"
top,p3,P3 ファイナルオメガ (Final Omega) - コロッサスブロー / ハローワールド,3,"強化版オメガ単体フェーズ。
主要ギミック: コロッサスブロー、ハローワールド (Hello, World)、
検知式波動砲 (Oversampled Wave Cannon)、Ion Efflux (時間切れ)。
野良主流は「優先TDH (検知式波動砲) / ファー→ニアー線渡し (ハロワ) 」。
"
top,p4,P4 ブルースクリーン (Damaged Omega / Blue Screen),4,"ダメージを受けた状態のオメガ。
主要ギミック: 波動砲 (3 iterations)、Wave Repeater、
ブルースクリーン (DPSチェック付き時間切れ)。
野良主流は「下調整・D1D2人数調整」のシンプル散開。
"
top,p5,P5 ラン：ディナミス (Run:Dynamis) - デルタ / シグマ / オメガ,5,"オメガM/オメガFの2体ディナミスフェーズ。
コード「＊＊＊ミ＊」の3パターン (デルタ / シグマ / オメガ) を順次処理。
ロケパン、アーム&バッシュ誘導、ハロワ散開、塔踏み、
Solar Ray (タンクバスター)、Quickening Dynamis スタック蓄積、
Blind Faith (時間切れ) を含む。
野良主流は「デルタ：ハムカツ式 / シグマ：りょんめ式 (塔Wingwan) / オメガ：ぬけまる式」。
"
top,p6,P6 アルファオメガ (Alpha Omega),6,"最終フェーズ。Quickening Dynamis スタック3個必須。
主要ギミック: コスモメモリー (タンクLB3)、フラッシュゲイル、
コスモアロー、コスモダイブ、Unlimited Wave Cannon (リミッターカット)、
波動砲、コスモメテオ (DPS LB必要)、マジックナンバー (タンク&ヒーラーLB)。
時間切れ Run: ◆◆◆◆mi◆。
"
p10s,p1,P1 パンデモニウム 通し (Pandæmonium),1,"パンデモニウム戦。1ボス完結型。クモ・ウェブ系のギミックがメイン。
主要技:
  - ディバイドウィング + ヘビーウェブ (1回目)
  - 尖脚 + グランドウェブ + パンデモニックピラー
  - スピットウェブ
  - パンデモニックボンド (1〜4回目、ダブル/クアドラの組み合わせ)
  - パンデモニックタレット
  - パンデモニックレイ
  - ディバイドプルーム
  - 魔殿の震撃 (タッチダウン時は西島集合)
野良主流: 犬丸改FFO式 (Game8 採用)、補足としてぬけまる様の震撃ボンドマクロ併用。
"
p11s,p1,P1 テミス 通し (Themis - 法理を司る者),1,"テミス戦。1ボス完結型。光と闇の対比、魔法陣・戒律など秩序系ギミックがメイン。
主要技:
  - ジューリー・オーバールール (光/闇属性判定)
  - アップヘルド・オーバールール (十字 or X字)
  - ディバイド・オーバールール
  - 魔法陣展開 + ディスミサル
  - 戒律の幻想
  - ライトストリーム
  - 光と闇の調停 (ジジー式採用)
  - ダークストリーム
  - 理法の幻想 (闇線中央 / 光線その場)
  - ステュクス (5〜8連、フィニッシュ)
野良主流: ハムカツ様準拠 + 光と闇の調停はジジー式 (Game8 採用)。
"
p12s,p1,P1 アテナ 前半 (Athena Part 1) — パラデイグマ〜サイコロネバラン,1,"Part 1 (前半)。「アテナ」戦。パラデイグマ系のギミックが軸。
主要技:
  - パラデイグマ 1回目 (タンク無敵処理)
  - パラデイグマ 2回目 (十字、線対面伸ばし、塔TH反時計/塔DPS時計)
  - トリニティ・ソウル
  - スーパーチェインセオリー I (8方向 / ペア / ペア半面ⅡA)
  - スーパーチェインセオリー ⅡB (ビーム誘導 / 4:4 / 塔天火散開)
  - アポ (HD ボス下) / ペリ (HD ボス背面サークル外)
  - パラデイグマ 3回目 (イディル: 北十字 / 南X字)
  - サイコロフェーズ (ネバーランド)
  - オン・ザ・ソウル
野良主流: ぬけまる式 (「パラ1無敵パラ2十字パラ3イディルサイコロネバラン」)。
"
p12s,p2,P2 パラス・アテナ 後半 (Pallas Athena Part 2) — サモンダークネス〜パンゲネシス,2,"Part 2 (後半)。「パラス・アテナ」戦。神格融合形態。
Idol of Darkness 系・カロリック系・パンゲネシスが軸。
主要技:
  - パラスの手 (T:西 / 他:東)
  - サモンダークネス (北/西:TH 南/東:DPS)
  - デミハルペリオン (MT/ST 上 // H1/H2 // ● // D3/D4 // D1/D2 を3回連続)
  - イデアエレメンタル (西 〇×△□ 東、α:赤▲ β:黄■)
  - パラスレイ (X処理 / K処理。Game8 マクロは X処理、1回目は K処理することもあり)
  - カロリックセオリー 1回目 (もちべ式 - 炎マーカー頭割り 西TH/東DPS、風炎AB時計)
  - エクピロシス
  - パンゲネシス (MT:西無敵、他:南(東側))
  - カロリック2回目 (反時計/最後中央行かずに2回移動)
  - サモンダークネス + デミ 2回目 (MTD1 が奥まで走る)
  - 最終線処理 (MT/D1, ST/D2, H1/D3, H2/D4 ペア)
野良主流: ぬけまる動画ベース (Game8 採用、X処理メイン)。
"
p9s,p1,P1 コキュートス 通し (Mythic Creation: Kokytos),1,"コキュートス戦。1ボス完結型 (フェーズ分けはしないが、内部的に「メイジ」「マーシャリスト」
「キメラ」「ビースト」の魂を取り込んで姿を変える展開)。
主要ギミック:
  - グラトニーズアーガー (全体)
  - デストゥワイス (タンク連続強攻撃)
  - ダブルスペル (魔法×2)
  - 古式地烈斬 (地面範囲)
  - 古式破砕拳 (4:4 頭割り)
  - ジャンブルコンボ (サイコロ1回目、無職マラソン式の山場)
  - ミールストーム (中央吸引)
  - ビーストフェーズ (毒・扇誘導)
  - キメリックコンボ (サイコロ2回目)
  - 憑魔双撃 (フィニッシュ系)
野良主流: 無職マラソン式 (Game8 採用、ぬけまる動画ベース)。
"
m5s,p1,P1 ダンシング・グリーン (Dancing Green) 通し,1,"ディスコ/ダンスモチーフの「パーティー野郎」ダンシング・グリーン戦。1ボス完結型。
主要ギミック:
  - ディープカット (タンク強攻撃)
  - ジングル予約 A/B (固定流派では予約位置に固定)
  - ポーズ&ジングル
  - セレブレートグッドタイムズ
  - ディスコインファーナル (西:MT組 / 東:ST組 / 内周:近接 / 外周:遠隔)
  - アルカディアナイトフィーバー (散開)
  - レッツダンス！ + αβ音響爆弾 (北から秒数短い順にペア整列)
  - ウェーブオンウェーブ
  - カモン！フロッグダンサー (MT組:北西 / ST組:南東)
  - ダンシングフィールド (扇誘導 TH→DPS)
野良主流: ぬけまる式 (Game8 採用)。
※ PERFECT GROOVE×2 で LB ゲージ獲得が想定されている火力設計。
"
m6s,p1-front,P1 シュガーライオット 前半 (ボス〜砂漠フェーズ),1,"シュガーライオット 前半。スプレーガンで描いたアートを具現化させる戦闘。
主要技:
  - カラーライオット
  - ウイングマーク
  - ダブルグラフィティ
  - ねばねばムース (基本散開: 北基準、Tボス下)
  - ランドスケープ
  - カラークラッシュ (2:2:2:2 配置)
  - 砂漠フェーズ: サボテン避け、サボテン+流砂、爆弾捨て (流砂北基準)
野良主流: Game8 採用版 (新FFO式 Ver.3.1)。
"
m6s,p2-back,P2 シュガーライオット 後半 (山川 〜 時間切れ),2,"雑魚フェーズ後の後半。山川 (山と川のフィールド) ギミック。
主要技:
  - 山川 (火・雷)
  - 雷雲 (TH←左 / 他DPS→右)
  - 雷 (基本散会)
  - マグマ (北 H1H2 / 南 D3D4 → MT/ST/D1/D2)
  - 塔処理 2回目: 4・2・2 or 南8塔 (構成によって配置変動)
野良主流: Game8 後半マクロ (Lucrezia 様動画準拠)。
"
m7s,p1,P1 ブルートアボミネーター 前半 (スキャッターシード 〜 ビルディング),1,"ブルートアボミネーター前半フェーズ。
主要技:
  - スキャッターシード 1回目 (種捨て + エラプ)
    * 近接: 南内側開始→上→中央→下
    * 遠隔: D北H南開始→東西→最後中央寄せ
    * 頭割り: MT組=西 / ST組=東
  - ソーンスマッシュ (北固定散開)
  - ブルートグラワー (中央集合からの十字配置)
  - ソーンデスマッチ・ビルディング (いしあ式・さり式・ぽにこね式が存在、Game8 はさり式)
野良主流: さり式 (Game8 採用) または ぽにこね式。
"
m7s,p2,P2 ブルートアボミネーター 後半 (ゾーンデスマッチ・ウォール 〜 ツイン),2,"後半フェーズ。石化視線ギミックと2体ボス処理。
主要技:
  - ゾーンデスマッチ・ウォール (石化視線: 北西/南東避け、雑魚石化後処理)
  - スキャッターシード 2回目 (近接北西集合)
    * 近接 AoE: 北西から時計回り→南西安置 (遠隔: シード十字捨て、南側外周避け)
    * 遠隔 AoE: 最外周捨て→中央安置 (近接: シード十字内側捨て、外から2マス、中央避け)
  - ウェポンツイン + ブロウシード (1回目北向き / 2回目ボス北基準)
  - ストーンウェポン: ツイン (P3 最大の山場、移動シビア)
"
