content_id,phase_id,tip
p1s,p1,結呪調整ペアの位置はマーカー色基準。マクロ図の左右を要確認。
p1s,p1,氷火の侵食 3 回目は調整役 (MT/D3) が前 2 回の属性を見て決定する。
p1s,p1,時限の魔鎖は対象者デバフを見て光/火を分担。
p2s,p1,ショックウェーブの頭割り分散は『MT 組ボス下 / ST 組通路』の二分法。
p2s,p1,多重刻印は 1 回目と 2 回目で T/DPS 役割が入れ替わる。
p2s,p1,カンペオスハルマの青サイコロは奇偶 (1・3 / 2・4) で配置が変わる。
p3s,p2,魔力錬成・闇は近接組 (MTSTD1D2) 北 / 遠隔組 (H1H2D3D4) 南で安置取り。
p3s,p2,霊泉フェーズ塔踏み AoE: MT 組 北/西スタート、ST 組 南/東スタート (時計回り)。
p3s,p2,AoE ペア: MT/ST → D1/D2 → D3/D4。
p3s,p2,辺獄黒竜巻ノックバックは黒竜巻に向かって近接が左へ、遠隔が右へ吹き飛び安置確保。
p4s,p2,後半は『劇』演出形式で時間軸が長め。各幕の入りタイミングをコールするのが安定。
p4s,p2,カーテンコールは最終ギミック。TH/D で切る秒数が違うので秒数を覚える。
p4s,p2,第二幕のダージャ切りは方角ベース、第三幕は犬丸式で誘導役固定。
dsr,p1,ハイパーディメンションは北捨て→南捨ての順で処理。
dsr,p1,プレステ散開はロール固定で簡略化できるが、後半（P5死刻）に備え位置パターンの理解も必要。
dsr,p1,光翼閃の捨て位置は安置横にペア（H1H2 / D34 / MTST / D12）。
dsr,p2,トールダン位置は蒼天騎士団の出現時点で予測可能。誰かがコールすると効率的。
dsr,p2,ヘヴィインパクト（ドーナツ型攻撃）は中心に寄って回避。
dsr,p2,ディメンションクラッシュ後はエリアが分断され、6本の塔処理が必要。
dsr,p3,MTはボスをA（北）に向け続ける。
dsr,p3,ソウルテザーはタンク2名で線処理（無敵活用推奨）。
dsr,p3,時間調整: 最期の咆哮までに削り切る必要があるため、火力管理が必須。
dsr,p4,赤線と青線は接触することで交換できる。これを利用して効率的に削る。
dsr,p4,右眼を優先破壊、その後左眼を処理。
dsr,p4,P4 後の P4-2「教皇庁②」では タンク LB3 を シャリベル HP 29% で使用、光翼閃② は P1 と同様。
dsr,p5,フィールドマーカー設置（1234マーカーは斜め内側 / ABCDは外周金リング接触）が必須。
dsr,p5,風槍: スパイラルピアス対象者は対角側へ線を伸ばし、青玉対象は北西へ。
dsr,p5,死刻: 北西→南東に斜め8人並び、ゲリック出現位置を北として認識。
dsr,p5,死刻処理は固定向け（複数の流派融合のため複雑）。野良では「こまぞう式改」が主流。
dsr,p6,息吹は線を伸ばし過ぎて反対側の即死範囲に入らないよう注意。
dsr,p6,アク・アファー: ヒーラー2名を起点とした頭割り、HP均等化が必須。
dsr,p6,カータライズ: MT/ST はタッチダウン A 集合、滅殺持ち近接と D3 は A に残る。
dsr,p6,1234マーカーは「絶対的な安地」として機能。設置精度が攻略成否を分ける。
dsr,p7,タンクはミスが許されない（向き調整 / ヘイトコントロールの失敗は即ワイプ）。
dsr,p7,タンク以外がダイナモ/チャリオットのコールを担当して負担軽減。
dsr,p7,ギガフレア: 1発目の予兆を見たら対角へ、着弾後は直線スプリント移動。
dsr,p7,アクモーン: 連続頭割り＋塔出現、方向は「MT組、ST組、タンク」で分散。
p5s,p1,毒石ペアは時計/反時計の方向ミスでパーティ事故になりやすい。マクロ表記を必ず読み合わせる。
p5s,p1,8連噛みつき (Starving Stampede) は青マーカー順を覚えれば回避は機械的。
p5s,p1,トパーズクラスターは結晶落下順をボイチャでコールするのが安定。
p6s,p1,サイコロは数字を見落とすと即死級の事故になる。声出しコールが安全。
p6s,p1,カヘキシーは外周AoE +  頭割り + デバフ位置調整の複合。マクロを読み込んでから動画予習推奨。
p6s,p1,寄生 (ケロモーフ/グロソモーフ) は前後の扇方向に注意。
p7s,p1,【凶】無敵式は無敵CDをきっちり管理。MT/ST が必ず受ける役割なのでマクロで明示。
p7s,p1,生命の果実の3種判別 (牛/鳥/ミノタウロス) を最初に覚えるとギミック流れが理解しやすい。
p7s,p1,魔印創成【獄】は西島/東島で4箇所ずつの塔配置になる。Consomme Mkll の動く図解 Toolbox が予習に便利。
p8s,p1,前半は変身ギミックを覚えれば事故りにくい。動画予習推奨。
p8s,p1,四重炎嵐は縦横/角の判別を早く。マクロの図を覚える。
p8s,p1,幻影創造の竜竜/フェニ判別を間違えると壊滅するため、声出しコール推奨。
p8s,p2,概念支配 (High Concept) は煉獄編最難ギミック。デバフ合成を間違えるとパーティ壊滅。
p8s,p2,万象灰燼 (Ego Death) は Immortal Conception (3デバフ合成) で生存。1人でもミスすると壊滅。
p8s,p2,はいじあ式 / ビジョン式 / リシュア式 など流派が複数存在。Game8 採用はぬけまる版のはいじあ/ビジョン式。
p8s,p2,煉獄編クリア時の Top 50 マウント (タイマット) 報酬対象だったが、配布は終了済み。
top,p1,パンクラ：ミサイルを捨てに行くときは内周を通り、戻るときは外周から合流。
top,p1,波動砲はタンク無敵で受け、7方向散開で AoE 処理。
top,p1,ACが綺麗に潰れたときのみ東西配置を使用する。
top,p2,連携プログラムLB は線取り (MT→西/ST→東) → 時計回り処理 → 弓LBは全員でボス南誘導。
top,p2,シールドバッシュ&フレアは盾誘導以外の7人で中央集合して頭割り。
top,p3,コロッサスブロー：❶①>H1MTSTD1D2D3D4H2>②❹ の優先度。白＋無職→①②、紫→❶❷❸❹。
top,p3,検知式波動砲：ボス検知が逆の場合は左右反転。AC縦列(①④⑤)はボスモニターの無い方へ。
top,p4,P4 は短いがDPSチェックがシビア。バフ回しと軽減を P3 から準備しておく。
top,p4,実質 P4 はブルースクリーン耐えのフェーズ。タンクLBやヒーラーLBの可能性も考慮。
top,p5,P5 デルタ：散開位置は言語化して共有、移動タイミングはデバフの数字で判断。
top,p5,P5 シグマ：塔の多いほうを北として、散開時の自分のマーカー位置の塔に入る。
top,p5,P5 オメガ：オメガFを基準として、③④★は回転方向で左右反転あり。
top,p6,コスモメモリー：LB3 は ST が打つ。
top,p6,1回目波動砲：中央集合→1回目エクサフレア安置側マーカーに向かって AoE 捨て。
top,p6,マジックナンバー：LB3 順は MT→H1→ST→H2。
top,p6,コスモメテオ：頭割り基本A集合、D3フレア時はC集合。
p10s,p1,パンデモニックタレットの3番レーザーは、4番タレットに向けて角度調整する必要あり。
p10s,p1,魔殿の震撃でタッチダウン発動時は西島に8人集合して処理 (Game8 主流)。
p10s,p1,ヘビーウェブの線処理は『線クロスしない』が鉄則。位置確定後に動かない。
p11s,p1,アップヘルド闇は十字 (ハムカツ) と X字 (しのしょー) で野良マクロが分かれるため、募集時に流派確認必須。
p11s,p1,魔法陣ディスミサル闇 / 戒律闇ディバイドは『ボスを見て』判定なのでカメラ向き重要。
p11s,p1,光と闇の調停はジジー式 (光:TH西/DPS東、闇:TH東/DPS西) が Game8 採用。
p11s,p1,ダークストリームは MT組北西 / ST組南東、内側に近接・外側に遠隔。
p12s,p1,パラデイグマ1回目はタンク無敵処理が前提。タンクの無敵スキル管理 (リプ含む) 必須。
p12s,p1,スーパーチェイン I/II は『8方向 → ペア → ペア半面 → ビーム誘導 → 4:4 → 塔/天火散開』の連続。
p12s,p1,"サイコロネバランは 2/4 が頭割り、ビーム順番要暗記 (5,7→6,8→1,3→2,4)。"
p12s,p2,パラスレイは X処理 (Game8 マクロ) と K処理 (1回目バリアント) があるので募集確認必須。
p12s,p2,カロリック1 (もちべ式) は風炎 ABCD の時計回り順序を厳守 (MTSTH1H2D1D2D3D4)。
p12s,p2,パンゲネシスで無職スライムは 西:1マーカー / 東:2マーカー に分かれる。
p12s,p2,カロリック2 はマーカーが MT と交代になる点が 1 回目との違い。
p12s,p2,最終サモンダークネス線処理は MT/D1 ST/D2 H1/D3 H2/D4 のペアを崩さない。
p9s,p1,ジャンブルコンボ (無職マラソン) はフィールド全体を活用するため、開幕の散開位置・デバフ確認が最重要。
p9s,p1,古式破砕拳の 4:4 頭割りは西/東に分かれる。クロスしないよう先に立ち位置を決める。
p9s,p1,ビーストフェーズの扇誘導は TH→D 順、毒は DPS が先。両者の優先度が逆なので要意識。
m5s,p1,PERFECT GROOVE×2 で LB1 ゲージ獲得が組み込まれた火力設計。
m5s,p1,ディスコインファーナルは内外配置を間違えると死亡しやすい (Game8 マクロ図要参照)。
m5s,p1,ジングル A/B はランダム選択だが、固定では同じ予約位置を使うため流派で動きが変わらない。
m6s,p1-front,雑魚フェーズが本層最大の難所。情報不足だと野良では事故りやすい (さり氏談)。
m6s,p1-front,ねばねば配置は北基準。Tがボス下なので、誤って T も外周に行くと事故。
m6s,p1-front,PT構成: 赤魔→賢者、ヴァイパー導入で雑魚フェーズ対応が安定 (さり氏 活動録より)。
m6s,p2-back,山川火: 内側 MTH1D1D2 / 外側 STH2D3D4。
m6s,p2-back,雷雲: 雷雲を見て、TH 左 / 他DPS 右に散開。
m6s,p2-back,塔2回目は 4・2・2 配置 (近接4人基準で時計/反時計) or 南8塔。マクロ図参照。
m7s,p1,ビルディング処理が攻略のキー (さり氏 活動録: 7割の準備時間をここに費やした)。
m7s,p1,P3 ストーンウェポンでは複数回スプリント必須。クールダウン管理を徹底。
m7s,p1,地下マーカーをマップ上に置く前提のマクロ運用 (ぬけまる固定 Lodestone 参照)。
m7s,p2,ストーンウェポン: ツインは石化視線+8方向直線+ブルートスイング+ツインの複合。
m7s,p2,ウェポンツイン+ブロウシード 1回目: MT/D3 北西、ST/D4 北東。
m7s,p2,ウェポンツイン+ブロウシード 2回目: MT/D1 北西、ST/D2 北東、H1/D3 南西、H2/D4 南東。
m8s,p1,前半最大の山場は『薙/廻の群狼剣』+『千年の風化』複合。
m8s,p1,幻狼招来は『分身を見て避ける派』が多数派 (さり氏 活動録)。
m8s,p1,土修正と風化IQ6000は独立する処理法だが、Game8 はこの組合せを採用。
m8s,p2,後半は通し戦闘でスピード感重視 (さり氏談)。
m8s,p2,孤狼の呪いは複数流派 (Alice式 / イディル式等) があるが、Game8 は Alice式を採用。
m8s,p2,"八連光弾の無敵タイミングは固定。MT2=2発目, ST3=3発目, T2人フルバフ=4発目。"
m10s,p1-fire,フレイムフローター1回目はボス見て右上→左上の交互で逆Z字描き。
m10s,p1-fire,インセインエアー扇誘導は中央から左>遠D H T 近D>右。
m10s,p2-water,水牢ギミック: 赤線は A/C 方向へ伸ばし往復、青線は出現位置から縦方向へ。
m10s,p2-water,ハイドロバリエルはデバフ色で半面を見分ける。
m10s,p3-merge,分断フェーズ後の頭割りは H>T、強攻撃は T。
m10s,p3-merge,青+赤アリウープ: 強攻撃は青タゲ持ちが離れる、頭割りは青直下から中央へ。
m11s,p1,コメットレインはボス背面から時計回りで誘導。
m11s,p1,ドミネーションは安置を北に見て、H1D3/H2D4/MTD1/STD2 で配置。
m11s,p1,メテオレインでタンク線取りは隕石基準、MT: 23マカ、ST: 4マカ。
m11s,p2,チャンピオンズ・メテオ 塔踏み1回目: 範囲捨てボス下から割れ目沿い南北。
m11s,p2,塔踏み2回目: 1回目処理位置近くに同じペアで入る。
m11s,p2,メテオスタンピード沼捨て: 北 H1D3 / 南 H2D4 (D 調整)。
m11s,p2,線持ちは穴を背にして右前に伸ばす。
m12s,p1,細胞付着 前期で線切は北から MT/D1 > ST/D2 > H1/D3 > H2/D4 の優先度。
m12s,p1,細胞付着 終期の線処理は中央集合→TH:西、D:東。
m12s,p1,"スローターシェッド散会組は H1MT/MTH1, D3D1/D1D3 ペアで処理。"
m12s,p2,リンドブルム・メテオは全体大ダメージ。詠唱完了時ボスHPが37%以下なら時間切れ突破可能の火力目安。
m12s,p2,アルカディアンドリームは3分かけて処理するが、2分は後出し提示で実質覚えるべきは少ない。
m12s,p2,Game8 4層後半ページにはマクロ本文非掲載 (2026-03-12 時点)。ぬけまる動画 or Lodestone からコピーすること。
m12s,p2,/p マクロより /e (emote) のコールマクロが採用される傾向 (Sr Odin 版参照)。
m9s,p1,ヴァンプストンプの近接寄りはコウモリ追従基準。HT/遠はその逆方向散開。
m9s,p1,茨塔はロール側と頭割り側で位置が分かれる。マクロ図の左/右を要確認。
m9s,p1,バット・デスマッチでコウモリの誘導距離を取り過ぎると、次ギミックの本体位置調整が遅れる。
m1s,p1,クアドラプルネイルのペア割は扇誘導位置から反時計回りに動く。
m1s,p1,レイニングキャッツは MT 無敵 → MT 無敵 → D1 (南側タゲサ: H1D1D2) の順。ST 側も対称。
m1s,p1,野良では『game8』『線とりたけし』の表記でマクロ流派が示されることが多い。
m1s,p1,スプレッドネイルは T - D - H の 3 方向散開、ボス位置基準。
m2s,p1,ハニー・B・ライヴ各回で「♡ハート数」によって塔位置と頭割り位置が分岐する。
m2s,p1,アラームフェロモン 1 回目は外周蜂からの直線範囲、各人が個別にケアする。
m2s,p1,ブラックハート後の中央集合は『早い人ペア順』。HP回復タイミングを意識する必要がある。
m2s,p1,野良では『お知らせマクロ』(◯◯ Rain or Drop で次に来るギミックを宣言する) も併用される。
m3s,p1,4 or 8 ウェイ・ダブルラリアットは『繋がれているブルートボンバーを 1 つ受ける』のが鉄則。
m3s,p1,ボンバリアンボム 2 塔目はボス向き基準の左右なので、ボス位置確認が必須。
m3s,p1,零式フューズボムは『単体長ボムを北に見る』で配置確定。短/長の判定に注意。
m3s,p1,極盛り式スピニングファイヤーはアタッチ (細胞付着) ギミック。基本散開と同じ位置で受ける。
m4s,p1,円輪/輪円は『DN 式』と呼ばれる Game8 採用の位置法。動画予習必須。
m4s,p1,エレクトロープ 2 回目はシャインスパーク被撃回数で『多/少』が決まる。22 秒/42 秒の判定タイミングを把握する。
m4s,p1,エレクトロンストリームは『TH 外側 / DPS 内側』が基本。デバフ色で逆方向に受ける。
m4s,p1,前半のタイムラインは 0 秒〜6 分 26 秒。Game8 ページに秒単位の予兆と対応が記載されている。
m4s,p2,クロステイル・スペシャルでタンク LB3 を撃つのが標準。LB3 がない場合は壊滅リスク大。
m4s,p2,マスタードボムのデバフ受取順は MT 側と ST 側で対称。順番を覚えること。
m4s,p2,ブラックサバト【日出】は塔と誘導の両方を担当する役割割振りが複雑。
m4s,p2,剣の舞 (時間切れ) 前の DPS チェックがソフト時間切れになる傾向。
