content_id,phase_id,id,name,description
tea,p1,yarkt-mushi-20,ヤークト無視 (20秒バースト / 野良主流),"リキッドフェーズ 2分20秒の時間切れを 1分9秒以内に本体だけ全力で殴り切る手法。
HP均等化を行わず、ペイン大ダメージを軽減とバリアで耐える。
ふうcだよが図解＋解説動画でまとめている派生も含む。野良の現在主流。
"
tea,p1,dice-1211,サイコロ 1211 (野良主流),"サイコロ (Throttle) 1番→2番→1番→1番 の順で爆発位置を踏み替えていく処理。
東西スタートの場合は東側優先。1211式 = 最初の爆発中心を通る線を0本目として、
1本先 / その2本先 / さらに1本先 / さらに1本先で処理する命名。
"
tea,p1,dice-44-separate,サイコロ 4:4 セパレ式 (派生),"ぬけまる「リキッドセパレ式」動画で解説される 4:4 分割の派生処理。
1211 より遭遇率は低いが固定で採用するケースあり。
"
tea,p2,nisi-hira-saki,ナイサイ ヒラ先渡し (野良主流),"ナイサイ (Judgment Nisi) 受け渡しを「ヒラが先に渡してから DPS が処理」する流派。
1回目DPS反時計受け渡し、3回目は一列 (A｝MT・D1・D3・D4・D2・ST｛C)、
4回目はタンヒラが先に並ぶ (MT・H1・H2・ST｛氷)。
"
tea,p2,super-jump-d3-yuudou,スーパージャンプ D3 誘導 (野良主流),"スーパージャンプ誘導を D3 が担当する標準処理。地雷は D3:5時 / ST:6時 配置。
"
tea,p3,jikan-teishi-nooshi,時間停止 脳死法 (野良主流),"時間停止 (Temporal Stasis) を「無印→左側ロボ、緑線→右側ロボ、青線TH左/青線D右、
雷→ジャスの側面」で機械的に処理する脳死法。
ジャス左側/右側で散開図がミラー反転する。
"
tea,p3,dansetsu-hamukatsu-34-kotei,断絶 ハムカツ式 34固定 (野良主流),"次元断絶のマーチを「ハムカツさん34固定方式」で処理する流派。
ぬけまる「ハムカツさん34固定方式 各視点有」動画で詳細解説。
懴悔順は 5,6 → 7,8 → 1,2。
"
tea,p4,mirai-kansoku-alpha-beta,未来観測 α/β 北南頭割り (野良主流),"未来観測 α/β を「黄親→北頭割り / 紫親→南頭割り」で処理する流派。
α: ボス側安置=名誉罰 / 対面側安置=左集団罰+他, 右加重罰。
β: 接触保護(黄親)→北寄り北西, 接触禁止(黄子)→2左上, 等の細かい配置あり。
"
tea,p4,kakutei-hanketsu-kihon,確定判決 基本散開 (野良主流),"確定判決を「黄親→4 / 紫親→2 / 他6人→2左側」で処理。
頭割り TH北/DPS南、散開は MT ST / H1 H2 / D3 D1 D2 D4 配置。
"
p1s,p1,pair-adjust-game8,ペア調整 / 氷火 MT・D3 交代式 (Game8 採用),"Game8 が公式採用している野良主流処理法。
- 結呪調整ペア: MTD4 / H2D2 / STD1 / H1D3 (マーカー色基準)
- 紫色マーカー: 秒数の短い順に ABCD
- 赤色マーカー: 秒数の短い順に 1234
- 氷火の侵食: MT/D3 が調整役 (2 回目で属性を必ず変更し、3 回目で調整)
- 時限の魔鎖: 対象者は光、他は火を取る
"
p2s,p1,game8-standard,Game8 採用版 (基本散開 / サイコロマーカー方式),"Game8 が公式採用している野良主流処理法。
- ショックウェーブ: MT 組 (MT/H1/D1/D2) ボス下 / ST 組 (ST/H2/D3/D4) 通路
- チャネリングフロウ: 十字配置で TH/DPS 互い違い
- 多重刻印 1 回目: T が左、頭割り中央、DPS が右
- 多重刻印 2 回目: T 角に / DPS は内側
- カンペオスハルマ: 青サイコロ 1・3 → ボス対角 / 2・4 → ボス下、紫は数字マーカー基準
"
p3s,p1,inumaru-shinoshow-hapioji,基本犬丸 + 闇の炎 X 字 (しのしょー) + 霊泉ハピおじ式 (Game8 採用),"Game8 採用流派。複数の野良流派を融合した形。
- 4:4 分け: MT 組 (MTH1D1D3) / ST 組 (STH2D2D4)
- 闇の炎設置ペア (X字): D3/MT → ① / D4/ST → ② / D1/H1 → ③ / D2/H2 → ④
  サイコロ数字マーカー、時計回りに炎を倒す
- 十字走火: 大玉/小玉は基本北西へ走る、北東に出た場合は北東
- 突進中央散開: ボスから MT/D3 → H1/D1 → H2/D2 → ST/D4
- 突進左右散開: ←TH / DPS→ (縦の並びは中央散開)
- 雑魚誘導: MT 組 北→西 / ST 組 東→南
- 雑魚突進: 線 2 本 → 繋がってる鳥の対角の時計回り、線 1 本 → 繋がってるペアの対角
"
p4s,p1,ypp-style-game8,YPP 式 (毒線 YPP 緑玉脳死) - Game8 採用版,"Game8 採用流派。
- 基本散開: 標準 8 人配置
- 毒線 YPP 式: TH 北 / DPS 南、塔線時計回り (線ぐるぐる)
- ピナクス炎 頭割り: MTH1 / STH2 / D1D3 / D2D4 ペア
- ピナクス炎 シフト後: 敵正面 MTH1D1D3 / 敵背面 STH2D2D4
- ピナクス毒 散開: MT 中央誘導、遠隔は外周
- 緑玉脳死: 十字配置で MTH2→D3 / STH1→D4 / D1D3→MT / D2D4→H1
  上記の玉を取った後、時計回りで処理
"
p4s,p2,inumaru-style-game8,犬丸式 (Game8 採用版・第三幕),"Game8 採用流派。第三幕アースシェイカー誘導に「犬丸式」を採用。
- 序幕: 標準散開 (D3/D4 北、MT/ST 中段、D1/D2 / H1/H2 南)
- 第二幕: 1 番目に T ダージャ北西 / H ダージャ南東で切り、エアロガ北西、
  D ファイガ南東、DPSファイガ移動は時計回り D1→D2→D3→D4 反時計回り
- 第三幕 (犬丸式): アースシェイカー誘導は ST が左/D1 が中央/その他右
- 第四幕: ウォタガは塔の対角の 1 つ時計回り側で切り、ダージャは自塔の時計回り側塔を踏む
  → 南西集合し北のダージャから時計回り処理
- 終幕: ボス基準散開 + 塔配置
- カーテンコール: TH 6 秒切り / D 11 秒切り (メモ: 13/23/33/43)
"
p4s,p2,nukemaru-style,ぬけまる式 (Game8 並列掲載),"Game8 ページ上で犬丸式と並列掲載されている別流派。
主に第三幕の処理が異なる。詳細はぬけまる動画参照。
"
dsr,p1,ririd-style-p1,リリド式 P1 (MTアデル/STグリノー/線ST無敵/沈黙 MT→レンジ→MT),"りりーどーる版野良主流。
- MTアデルフェル / STグリノー固定
- ホーリーブレードダンス線は ST 無敵で受ける
- ホリエストブレッシング詠唱は沈黙でキャンセル: MT→レンジ→MT の順
- プレステ散開: 北基準で◯×△□マーカーをロール固定で散開
"
dsr,p2,ririd-style-p2,リリド式 P2 (ゼフィラン基準散開/隕石ハムカツ式),"りりーどーる版野良主流。
- 雷槍: MT組 D-1 / ST組 B-3 で扇配置
- 聖杖: ゼフィラン基準でペア (MTST/H1H2/D1D2/D3D4) を組み、剣1+MT組はゼフィラン対角、剣2+ST組はゼフィラン後ろ
- 隕石（ホーリーコメット）: ハムカツ式（南北スタートで7回設置）
"
dsr,p3,iru-d-spa-b,イル↓D・スパ↑B固定 (リリド式),"サイコロ番号と塔配置を固定する野良主流。
- イルーシブジャンプ↓: D ライン担当
- スパインダイブ↑: B ライン担当
- サイコロ②③は北でアピール、①は中央配置
- 4塔近接調整: 近接ジョブが移動調整、優先度は時計回り>反時計回り>対角
"
dsr,p3,nukemaru-nidhogg,ぬけまる式 (ニーズフェーズ図解版),"ぬけまる動画準拠の処理法。サイコロ全パターンの視点動画あり。
固定の流派として選ばれることもある。
"
dsr,p4,kinsetsu-aoi-yose,近接青眼寄せ (リリド式),"近接ジョブが青眼に寄って効率的にダメージを与える野良主流。
- 黄玉: DPS / 青玉: TH 担当
- 黄玉後: 邪眼南北で受け渡し
- ミラージュダイブ: 青眼集合、交代順は ①②③④優先順位
- 1回目: ①D1>D2④ / 2回目: ①D3>D4④ / 3回目: ①MT>ST>H2>H1④
"
dsr,p5,komazou-shiki-kai,こまぞう式改 (野良主流死刻処理),"現在もっとも採用されている主流処理法。
イディル式とこまぞう式のハイブリッドで、基本動作はこまぞう式、
散開座標はイディル式を採用。
死の宣告解放点を固定し、ツイスターを意識する必要を最小化する。
散開優先度: D4>D3>D2>D1>ST>MT>H1>H2 (※固定により変動あり)
"
dsr,p5,komazou-w3rd,こまぞう式 (W3rd / オリジナル),"オリジナル「こまぞう式」。W3rd クリアチームの流派。
散開優先度は D4MTSTD1D2D3H1H2 系統。
"
dsr,p5,idyll-shiki,イディル式 (旧主流),"旧主流処理法。現在は「こまぞう式改」に取って代わられているが
固定によっては依然採用されることもある。
"
dsr,p6,okome-style-p6,おこめ式（息吹1回目） / 脳死（息吹2回目） / 南三角,"野良主流の二天竜処理。
- ニーズ担当: MT H1 D1 D3 / フレース担当: ST H2 D2 D4
- 息吹1回目: おこめ式（調整: H2 D2 D3、初期配置で散開）
- 息吹2回目: 脳死配置（A基準で北側にMT、フレース側に頭割り集合）
- 南三角: 初期散開から「赤線と青線を1対ずつ3ペアに分けて処理」、
  動くのは2名のみで効率的
- 滅殺の誓い受け渡し順: DPS→MT→ST→近接(D1優先)→D3
- 邪念の炎: ←MT ST D1 D2 D3 D4 H1 H2→ の優先順位で白+(無)/紫を配置
"
dsr,p7,acmorn2-tlb3,アクモーン2回目 TLB3 (リリド式),"野良主流の最終フェーズ処理。
- アクモーン2回目で タンク LB3 を発動
- エクサ→アクモーン→ギガフレア の 3 周構成（3 周目はギガフレアなし）
- トリニティ AA 受け順: エクサ後→H1/H2 / アクモーン後→D1/D2 / ギガ後→D3/D4
"
dsr,p7,tate-yoke,エクサ縦避け（フィールド模様基準）,"ARUTORA 推奨のエクサフレア処理法。
ボスを北または南に向けた状態で、最初の爆発後に中心に移動、
その後ひし形の床模様の頂点へ移動する縦避け方式。
"
p5s,p1,nukemaru-game8,ぬけまる式 (Game8 採用版),"Game8 が採用しているぬけまる氏解説に準拠した処理法 (マクロVer2)。
- 基本散開: 北 D3/MT/D4、中央 H1/H2、南 D1/ST/D2
- 十字毒塔: MTが無敵受け、H1D3 / H2D4 / D1D2 で塔処理 (STフリー)
- 毒石ペア: MTST/H1D3 は 12時から反時計回り、D1D2/H2D4 は 1時から時計回り
- ベノムサージ/スプラッシュ: 西/内壁に MT組 (MTH1D1D3)、東/外壁に ST組 (STH2D2D4)
- 毒沼+ベノムスコール: マーカー1or4 に出た毒に MT組、2or3 は ST組
- 4部屋ベノムスプラッシュ: 3個部屋の対角に逃げる
"
p6s,p1,nukemaru-game8,ぬけまる式 (Game8 採用版),"Game8 が採用しているぬけまる氏解説に準拠した処理法 (マクロVer1)。
- MT組: MTH1D1D3 / ST組: STH2D2D4
- 基本散開: 北 MT/D3, ST/D4 / 南 H1/D1, H2/D2 / 中央 ★
- 頭割り+扇範囲: 西 MT組 / 東 ST組 (時計回りで頭割り)
- サイコロ: 西 奇数 / 東 偶数
- カヘキシー1回目: 内周20→外周16→中央8の数字配置でAOE誘導
- カヘキシー2回目: 西 紫デバフ / 東 緑デバフ、北南外周マス→AoE、内周マス→頭割り
- チェンジバースト2回目: 西→T・H / 東→DPS (AOEも上記方向に捨てる)
- 4:4頭割り: 西側→MT組、東側→ST組 (内周4マスを使用)
"
p7s,p1,nukemaru-game8,ぬけまる式 (Game8 採用版 - 獄8人 凶無敵 乱犬丸),"Game8 が採用しているぬけまる氏解説に準拠した処理法 (マクロVer1.5)。
- MT組: MTH1D1D3 / ST組: STH2D2D4
- 基本散開: 北 MT/D1, ST/D2 / 南 H1/D3, H2/D4 / 中央 ★
- ノックバック + 鳥: 中央列に MT/ST、上下に D1-D4、両通路を H1/H2
- 生命の果実 (頭割り): 北側 MT組 / 南側 ST組
- 魔印創成 (散開): 基本散開準拠、頭割りと被ったら通路へ
- エクサ + 頭割り: 西 MT組 / 東 ST組
- 鳥誘導 + 塔: 基本散開準拠でズレたら時計回り
- 魔印創成【獄】: 西島/東島で対称配置 (頭割り MT/D1 / ST/D2 / H2/D4 / H1/D3 / 通路)
"
p8s,p1,nukemaru-game8-ffo,ぬけまる式 (Game8 採用版 - FFO式),"Game8 が採用しているぬけまる氏解説 + 野良標準「FFO式」処理法 (マクロVer1)。
- 基本散開: 北 D3 MT D4 / 中 H1(H2) ST / 南 D1 H2 D2
- テトラオクタ/誘導/蛇2: MT/D3 → ST/D4 / H1/D1 ← H2/D2 の4方向誘導
- イントゥシャドウ(1回目): 蛇は北から時計回り MTD1 > STD2 > H1D3 > H2D4
- フェイタルストンプ: 1,3回目→1(北西), 2,4回目→中央, 待機→A(北)
- 幻影創造: 竜竜×散開 or フェニ×散開 でパターン分岐
- 四重炎嵐: 縦横/角 の2パターン、頭割りは近H位置 (MTD1/STD2/H1D3/H2D4)
- イントゥシャドウ(2回目): 4:4頭割り、デバフ持ち 北西>MT/D1>...>H2/D4>南東、無職は北西TH/南東DPS
- テトラ/ディフレア: テトラは(ボス)MT/D1>ST/D2>H1/D3>H2/D4、ディフレアは(ボス)MTH1D1D2>STH2D3D4
"
p8s,p2,nukemaru-game8-haijia,ぬけまる式 (Game8 採用版 - はいじあ式 / ビジョン式),"Game8 が採用しているぬけまる氏解説 + ビジョン式「万象灰燼処理法」(マクロVer1)。
- 術式1回目: 頭割りは西、紫 ST、★中央 / D1 MT D2 / H1 H2 / D3 ST D4
- 術式炎氷: TH西 DPS東 / 炎は中央前詰め MT>ST>H1>H2、氷誘導 西 D1>ST / 東 MT>D2
- 術式2回目散開: STMT 紫 D3D1 / H1H2D4D2
- 概念1回目①: 早α/早β/早γ + 複/遅α/重/遅βγ → 配置
- 概念1回目②: 遅α/遅β/遅γ + 生物 → 配置
- 4塔合成: 遅αβγ→北で合成、複/重/早余り→南で合成
- 万象灰燼 (はいじあ/ビジョン式): MT/D1 ST/D2 H1/D3 H2/D4 の +位置
  * 1,3番塔は前+で範囲捨て、2,4番塔は後+で範囲捨て
- 概念2回目①: 無/早α + 単 + 早β/複/遅 + 早γ → 配置
- 概念2回目②: 遅α + 生物 + イフ + 遅β + 遅γ → 配置
- 4塔合成 (2回目): 遅αβ→北で合成、遅γ/早余り→南で合成
- 支配者の一撃: MTH1 D3 D1 / ST H2 D4 D2 の配置
- 塔優先度: 西>MTSTH1H2D4D3D2D1>東
"
top,p1,south-shuhgo-clockwise,南集合・11.5時時計回り (リリド式 / 野良主流),"サークルプログラムは南集合、北11.5時を基準に時計回りで
H1MTSTD1D2D3D4H2 の順で塔踏み・線処理。
パンクラは北(東)→南(西)へ H1MTSTD1D2D3D4H2 で並ぶ。
ミサイル前方・頭割り後方が基本。
"
top,p2,shimokara-chosei,下から調整 / 男三人基準 (リリド式 / 野良主流),"連携プログラムPTは全て下から調整。
4:4 吹き飛ばしは男三人を基準に西を左組、南or東を右組として
右組が調整役を担当。
プレステはファーを右組が調整。
"
top,p3,ast-shiki,アスト式 (検知式波動砲・優先TDH),"P3 検知式波動砲の野良主流処理。
優先順位は ①❶＞MTSTD1234H12＞❸⑤ で組分け、AC縦列はボスモニター無い方へ。
"
top,p3,cross-shiki,十字式 (検知式波動砲),"十字状の配置で安置を作る代替流派。ぬけまる「P3 検知式波動砲 十字式イメトレ」動画で解説。
"
top,p3,hello-world-far-near,ハローワールド：ファー→ニアー線渡し (野良主流),"塔組外側・線組内側ルートで移動。
塔は早い者勝ち、線受け渡しは貰いに行く、
線処理はファー→ニアー、4回目のみニアー→ファー。
"
top,p4,shitachoukei-d1d2,下調整・D1D2人数調整 (野良主流),"MT/ST 上、D3/D4 左右、H1/H2 中段、D1/D2 下段、
頭割りは下調整、人数調整は D1D2 が担当。
"
top,p5,delta-hamukatsu,デルタ：ハムカツ式 (野良主流),"P5 デルタの主流処理。ロケパンは内側調整、❶❷ニア / ①②ファー。
線切りタイミング、アーム/バッシュ誘導、ハロワ散開も含む。
りりーどーる更新履歴によると 2023/3/18 にハムカツ式へ統一。
"
top,p5,sigma-ryonme-tower-wingwan,シグマ：りょんめ式 (塔Wingwan / 野良主流),"P5 シグマの塔踏み処理は「りょんめ式 (塔Wingwan)」が野良主流。
# 出典: 要調査 (Hanabi note より名称のみ抽出 / 詳細マクロは要手動補完)
"
top,p5,omega-nukemaru,オメガ：ぬけまる式 (ボス検知＆虫オメガ北基準),"P5 オメガの野良主流処理。ボス検知＆虫オメガ北基準で配置。
マーカー付与の優先順位：1回目 II+ディナミス2>ディナミス2>ディナミス1、
2回目 ディナミス3>ディナミス2。★ハロワファー、◆ハロワニア。
"
top,p6,hamukatsu-cosmo-arrow,ハムカツ式 (コスモアロー波動砲処理),"P6 コスモアロー波動砲処理。
Hanabi note (note.com/hana25o) で「安定する」と評される野良主流。
"
top,p6,nukemaru-p6,ぬけまる式 (P6 全般),"ぬけまる P6 解説動画準拠の処理。コスモダイブ・波動砲・コスモメテオ・
マジックナンバーを含む最終フェーズ全般の流派。
"
p10s,p1,inumaru-ffo,犬丸改FFO式 (Game8 採用版),"Game8 が採用している犬丸様の攻略動画ベースの処理法。
- 尖脚: 左 MT / 右 ST
- グランドウェブ: 左 H / 右 DPS
- パンデモニックピラー: ST H1 MT // D1 H2 D2 // D3 D4 など細かい配置あり
- スピットウェブ: MT/ST 北側、内側 D1/D2、H1 中央、外側 D3/D4、H2 南
- ヘビーウェブ (1回目): 左 TH / 右 DPS、扇北向け、頭割り南で横並び、線クロスしない
- ボンド (西島/片面/震撃): MT D1 / ST D2 / H1 D3 / H2 D4 縦並び
  ダブル: MTD1 STD2 H1D3 H2D4
  クアドラ: MTSTH1H2 / D1D2D3D4
  タッチダウン時は西島に8人入って処理
- タレット: 西 H1MT→D3MT→D1MT→MT / 東 H2ST→D4ST→D2ST→ST
  3番レーザーは4番タレットに向けて角度調整
"
p10s,p1,nukemaru-shingeki,ぬけまる様 魔殿の震撃ボンド (補足),"魔殿の震撃ボンドの処理法だけ別解として記載されているもの。
- ダブル(22) MT組:ST組: D1 MT ST D2 / D3 H1 H2 D4
- クアドラ(44) TH組:DPS組: MT ST D1 D2 / H1 H2 D3 D4
"
p11s,p1,hamukatsu-zizie,ハムカツ様準拠 + ジジー式調停 (Game8 採用版),"Game8 採用流派。基本散開・配置はハムカツ様準拠。光と闇の調停はジジー式。
- ボスを見る場合以外は北 (A) 基準で散開
- MT組: MTH1D1D3、ST組: STH2D2D4
- 基本散開: D3/MT/D4 // H1/★/H2 // D1/ST/D2
- アップヘルド闇/ペア散開: MTD3, H1D1/H2D4, STD2 (十字形)
  * 闇ジューリー → DPS時計回り
  * 塔 X字 → 反時計回り
- 魔法陣 & 戒律:
  * 初動 MT組:西待機 / ST組:東待機
  * 魔法陣ディスミサル闇 / 戒律闇ディバイドはボスを見て
    左: MTD3/STD2 / 右: H1D1/H2D4
  * 戒律の闇線 → T線: A マーカー / 光: ボス中央
- ライトストリーム後ディバイド: ボスを見て MT組:左 / ST組:右
- 光と闇の調停 (ジジー式): 光→TH:西側/DPS:東側、闇→TH:東側/DPS:西側
- 調停ディバイド: 近マーカー待機→位置確定後時計回り
- ダークストリーム: MT組:北西 / ST組:南東、内:近接(T側) / 外:遠隔(H側)
"
p11s,p1,shinosho-xshiki,しのしょー式 (X字処理 - アップヘルド闇),"アップヘルド闇の処理で十字 (ハムカツ式) ではなく X字を採用する流派。
Game8 ページに「別解」として注記あり。詳細は動画予習推奨。
"
p12s,p1,nukemaru-zenhan,ぬけまる式 (Game8 採用版 / 前半),"Game8 採用流派。「パラ1無敵 / パラ2十字 / パラ3イディル / サイコロネバラン」。
- パラデイグマ 1回目: タンク無敵で処理
- パラデイグマ 2回目 (十字):
  * 線: 対面に伸ばす
  * 塔TH: 北西から反時計回り
  * 塔DPS: 北東から時計回り
- スーパーチェイン I (8方向): D1/MT/D2 // ★ // H1/D3/D4/H2 // 円配置
  ペア: MT/D1 // ST/D2 // H1/D3 // H2/D4
  ペア半面 (ⅡA): MTD1 / STD2 / H1D3 / H2D4
- スーパーチェイン II (ビーム誘導): 黒ビーム / 白ビーム、白デバフ/黒デバフ
  4:4 + 塔/天火散開: MT/D1 ST/D2 // ★ 白/黒 // H1/D3 H2/D4
- アポ・ペリ: アポ HD ボス下 / ペリ HD ボス背面サークル外
- パラデイグマ 3回目 (イディル): 北:十字 / 南:X字
  北 MT > ST > H1 > H2 南
  DPS 塔踏み: 中央 > D1D2D3D4
- サイコロネバラン: 2/4 は辺から頭割り、ビーム順: 5,7→6,8→1,3→2,4
  サイコロ後は北に集合
"
p12s,p2,nukemaru-kouhan-xshori,ぬけまる式 (Game8 採用版 / 後半 X処理),"Game8 採用流派。パラスレイは X処理メイン (1回目は K処理することも多い)。
- パラスの手: T:西 / 他:東
- サモンダークネス: 北>西:TH / 南>東:DPS
- デミハルペリオン: 3 セット連続、TH/DPS のスワップ配置
- イデア: 西←〇×△□→東、α:赤▲ β:黄■
- パラスレイ X処理:
  ● ● ● ●
  〇α ★ ×α (1回目) / △α ★ □α (2回目)
  ● ● ● ●
  〇β ★ ×β / △β ★ □β
  2回目は〇×△□が反転、誘導後→★ に入る
- カロリック1 (もちべ式): 炎マーカー頭割り 西TH/東DPS
  風炎は MTSTH1H2D1D2D3D4 の順で A から時計
- エクピロシス: MT/ST 上 // D1 MT // D2 ST // H1 H2 上 // D3 D4 // 等
- パンゲネシス: MT:西無敵、他:南(東側)
  極性なし: 西←MTSTH1H2D1D2D3D4→東
  無職:スライム → 西:1マーカー、東:2マーカー
- カロリック2: マーカーは MT と交代、反時計/最後中央行かずに2回移動
- サモンダークネス + デミ 2 回目: MTD1 が奥まで走る、安置の逆側に
  MT/D1 ST/D2 H1/D3 H2/D4 ペア
"
p12s,p2,nukemaru-kshori,パラスレイ K処理 (1回目バリアント),"パラスレイの 1回目を K処理で行うバリアント。Game8 マクロは X処理だが
「1回目は K処理することも多い」と注記あり。PT 募集時に必ず流派確認すること。
詳細処理は ぬけまる別解動画 / Lodestone 等で要確認。
"
p9s,p1,musyoku-marathon,無職マラソン式 (Game8 採用版 / ぬけまる動画ベース),"Game8 が採用しているぬけまる動画ベースの処理法。「無職マラソン式」
(jobless marathon) と呼ばれる。
- 基本散開: D3/MT/D4 // H1/★/H2 // D1/ST/D2
- ペア十字 (X字反時計回り): MT/D3, ST/D2, H1/D1, H2/D4
- 古式破砕拳: 4:4 頭割り、西 MTH1D1D3 / 東 STH2D2D4
- ジャンブルコンボ (サイコロ1回目):
  * 無職 (デバフ無し) は 1壁 (西) から進行方向に走り、青AoE が
    ついたら止まる (= マラソン式の語源)
  * 塔は 6→8→2→4 の順で処理
  * 炎は 2→4→6→8 (塔から進行方向に45度ずれる)
- ビーストフェーズ: 毒は 12時から時計回り、優先順 DPS > TH
  扇誘導は TH→D の順
- キメリックコンボ (サイコロ2回目): 1→東 / 2→西 / 3,4→北 / 無職→南
"
m5s,p1,nukemaru-game8,ぬけまる式 (Game8 採用版),"Game8 が公式採用しているぬけまる氏解説に準拠した処理法。
- ジングル予約 A/B: ジングルがランダムに A or B を詠唱するが、固定流派では
  散開を一貫させるため位置固定で処理。
- ディスコインファーナル 1回目: 西=MT組 / 東=ST組 / 内周=近接 / 外周=遠隔。
- 音響爆弾: 北から秒数短い順にペア整列。
- フロッグダンサー 1回目: MT組=北西 / ST組=南東。
- ペア頭割り: 横隣り。
"
m6s,p1-front,shin-ffo,新FFO式 (Game8 採用版 Ver.3.1),"Yuna'' Kanon' (FFO) 氏が公開した新FFO式マクロを Game8 が採用。
- 基本散開: ねばねば北基準、Tボス下。
- カラークラッシュ: 2:2:2:2 配置 (H1D3 / MTD1 / STD2 / H2D4)。4:4 はMT組ST組 (左/右)。
- 砂漠フェーズのサボテン: 北で避ける。流砂は北基準。
- 爆弾捨て: H1/D3 → MT/D1 → ST/D2 → H2/D4 順。
- 雑魚処理順: ジャバ ＞ キャット ＞ フェザー ＞ ムー ＞ ヤーン (リキャバースト)。
- Wave1: MT がムー、ST+近接がヤーン、遠隔がキャット。
- Wave2: D側フェザーD3、B側フェザーH2 (北から捨て)。
- Wave3: ジャバ+ムー行進、スタンは MT→D1→D2、STヤーン北東、バインドヒラ南東。
- Wave4: MTムーC、STヤーンA (スタン: ST→D1→D2)、D側フェザーD3、B側フェザーD4 (南から捨て)。
"
